TF_family,motif_clusters
SP/KLF,"SP/KLF,KLF/SP,KLF,ZNF/SP,SP/ZNF,CTCF/KLF"
ZNF,"ZNF,ZFP,ZNF/ZFP,ZFP/ZFP69B,ZNF/ZNF280A,ZNF/ZNF324B,ZNF33A,ZNF33B,ZNF705G/ZNF,ZNF780A,ZNF/ZNF354A,ZNF585A,ZNF75A/ZNF75D,VEZF/ZNF,ZNF354A/ZNF354B"
ZBTB,"ZBTB,ZBTB/ZNF,ZBTB7A,ZBTB7A/ZBTB7B"
ZSCAN,"ZSCAN,ZSCAN/KLF,ZSCAN/ZNF,ZNF/ZSCAN,MECOM/ZSCAN"
MZF,"ZNF/MZF,MZF/ZNF,MZF"
PRDM,"PRDM,ZNF/PRDM,NFATC/PRDM"
MAZ,"MAZ,ZNF/MAZ"
PAX,"PAX,ZNF/PAX"
CTCF,"CTCF,CTCF/ZNF,ZNF/CTCF,CTCF/CTCFL"
RBAK,"RBAK/ZNF,ZNF/RBAK"
EGR,"EGR,EGR/ZNF,EGR/WT"
FOX,"FOXA/FOXO,FOXD,FOXG/FOXK,FOXL,FOXO,FOXO/FOXJ,FOXO1,FOXR,WT/FOXC,WT/HOXB,FOXN,BPTF/FOXC"
IRF/STAT,"IRF,IRF/STAT,STAT/IRF,STAT,IRF/ZBED,BATF/IRF,JUN/NFE2L,STAT/STAT5A"
ETS,"ETS,ELF,ELF/ETV,ELF/SPIB,ELK/ETV,ERG/FLI,FLI/ZNF,ETS/SIX"
SOX,"SOX,SOX/SRY"
GATA,"GATA,GATA/TRPS"
BCL,"BCL/BCL6B,BCL11A/BCL11B,BCL11B,SPI/BCL11A"
MEIS/PBX,"MEIS/PBX,MEIS/PKNOX,PBX/PKNOX,PBX/MEIS"
POU,"POU2F,POU3F,POU2F/POU3F,POU3F/POU1F,POU3F/POU2F,POU6F,POU6F/NKX"
HOX,"HOXA/HOXD,HOXD/HOXA,HOXC/CDX,CDX/HOXA,TBP/HOXD,LHX,NKX,NKX/MSANTD,BARHL/MSX,HMX,MEOX"
ZSCAN5C,"ZSCAN5C"
ZKSCAN,"ZKSCAN"
MECOM,"MECOM"
ZIM,"ZIM/ZNF"
NFKB/RELA,"NFKB/RELA"
NFATC,"NFAT/NFATC,NFATC,NFATC/STAT,NFATC/ZNF"
LEF/TCF,"LEF,LEF/TCF,LEF/TCF7L,TCF7L/LEF,LEF/TCF7L"
MEF2,"MEF2A/MEF2C,SRF/MEF2B"
TBX,"EOMES/TBX,MGA/TBX,TBX/EOMES,TBX/MGA"
SMAD,"SMAD"
RUNX,"RUNX"
TEAD,"TEAD"
THAP,"THAP"
TFAP,"TFAP/MYOD,TFAP2A/TFAP2C"
TFCP,"TFCP,TFCP/TFCP2L,GRHL/TFCP"
SRF,"SRF/MEF2B"
SREBF,"SREBF"
STAT/STAT5A,"STAT/STAT5A"
MYB,"MYB/MYBL,MYB"
MYRF,"MYRF"
REST,"REST"
GFI,"GFI,GFI/GFI1B,GFI/POU3F"
GLI/GLIS/ZIC,"GLI,GLI/ZIC,GLIS,ZIC/GLIS"
HMBOX,"HMBOX"
HSF,"HSF"
HNF4A/HNF4G,"HNF4A/HNF4G,HNF4A"
E2F/TFDP,"E2F/TFDP,TFDP/E2F"
IRX,"IRX"
RFX/MXI,"RFX/MXI"
RFX,"RFX"
BACH/NFE,"BACH/NFE"
BBX,"BBX"
ARID5B,"ARID5B"
AHR,"AHR"
MTF,"MTF"
TOPORS,"TOPORS"
TP,"TP"
YBX,"YBX"
XPA,"XPA"
LIN28B,"LIN28B"
PLAG,"PLAG,PLAGL"
USF/BHLHE,"USF/BHLHE"
CREB3L/XBP,"CREB3L/XBP"
FOSL,"FOSL,FOSL/JUND"
CENPB,"CENPB"
GMEB,"GMEB"
GCM,"GCM"
HIC,"HIC"
HINFP,"HINFP"
INSM,"INSM"
MBD,"MBD,MECP"
OVOL,"OVOL"
RORC/RORA,"RORC/RORA"
SATB,"SATB"
SCRT,"SCRT"
TLX,"TLX"
WT,"WT/FOXC,WT/HOXB"
ZIK,"ZIK"
NR,"NR1I/NR1H,NR2E,NR2F/NR1H,NR2F/RXRG,NR3C,NR3C/AR,NR4A,NR4A/NR2C,NR6A,RARA/RARG,RARA/ESRRA,RARB/RXRG,RXRA/NR2C,NR2C/RXRA,NR2C/NR4A,THRB,THRB/RARA,THRA/THRB"
