sequence_name	AHR	AIRE	ANHX	ARID5B	BACH/NFE	BCL	CDC5L	CEBPA	CREB	CREB3L/XBP	CTCF	DMRT/DMRTA	E2F	E2F/TFDP	EBF	EGR	ESR/ESRRA	ESRRA/NR5A	ETS	FEZF	FOX	FOXH	FOXJ	GATA	GCM	GFI	GLI/GLIS/ZIC	HMBOX	HOX	HOXB/PBX	HSF	IKZF	INSM	IRF/STAT	IRX	LCORL	LEF/TCF	MAFF/MAFG	MAZ	MBD	MBNL	MECOM	MEF2	MEIS/PBX	MTF	MYB	MYRF	MZF	MZF/YY	NEUROG/OLIG	NFATC	NFIC/NFIX	NFKB/RELA	NFYA/NFYB	NHLH/TFAP	NR	NR1I/VDR	NRF	OLIG/ZBTB	OSR	PAX	PLAG	POU	PRDM	REST	RFX/MXI	RORC/RORA	RUNX	SCRT	SIX/ZNF	SMAD	SOX	SP/KLF	SPDEF	SREBF	SRF	STAT/STAT5A	TBX	TEAD	TFAP	TFCP	THAP	TOPORS	TP	USF/BHLHE	YBX	YY	ZBTB	ZIK	ZIM	ZKSCAN	ZNF	ZSCAN	ZSCAN5C
H001_3LTR_SGA_16_(reversed)	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	29	0	0
H001_3LTR_SGA_17_(reversed)	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	28	0	0
H004_3LTR-Tail_SGA1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	34	1	0
H004_3LTR-Tail_SGA12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA13_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA15_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA16_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
